5	54033424	54033524	-	0	5	5	54033459
5	54083653	54083758	-	0	7	7	54083677
5	54180664	54180866	+	14	0	9	54180746
5	54407705	54408075	-	0	148	79	54407923
5	54417418	54417672	-	0	118	60	54417539
5	54418204	54418472	-	0	109	70	54418295
5	54422007	54422151	+	45	0	38	54422083
5	54423791	54424009	+	108	2	74	54423861
5	54431331	54431491	-	4	29	20	54431399
5	54433633	54433940	+	220	1	124	54433815
5	54434989	54435166	-	1	42	24	54435078
5	54441775	54442015	-	0	56	31	54441876
5	54448808	54448947	+	14	0	11	54448848
5	54454979	54455113	-	0	22	17	54455037
5	54457622	54457817	+	51	0	37	54457747
5	54464480	54464735	-	14	163	91	54464611
5	54464862	54465384	-	6	5680	3098	54465064
5	54483864	54483964	-	0	5	5	54483900
5	54513403	54513566	-	0	40	30	54513486
5	54514350	54514604	-	0	55	26	54514449
5	54514789	54515346	-	43	56	32	54515142
5	54525200	54525473	-	0	125	80	54525368
5	54525650	54525899	-	0	47	22	54525742
5	54533295	54533543	+	88	0	50	54533411
5	54535642	54535832	+	66	0	46	54535755
5	54539035	54539282	+	80	0	50	54539154
5	54539446	54539546	+	19	1	15	54539529
5	54544358	54544518	+	21	0	14	54544449
5	54545136	54545342	-	0	51	37	54545211
5	54555439	54555551	-	0	14	12	54555502
5	54560676	54560801	+	35	0	24	54560744
5	54560960	54561100	+	37	0	31	54561028
5	54561953	54562088	-	0	41	32	54562023
5	54562425	54562862	-	0	214	95	54562602
5	54573414	54573642	+	76	1	41	54573537
5	54574221	54574429	+	56	0	34	54574349
5	54578396	54578542	-	2	38	26	54578472
5	54581775	54581948	+	35	5	23	54581881
5	54583520	54583695	+	48	0	28	54583573
5	54585451	54585571	-	0	27	20	54585499
5	54590007	54590155	-	1	21	18	54590064
5	54591089	54591192	+	17	0	17	54591108
5	54597188	54597485	+	96	1	68	54597310
5	54598172	54598296	+	47	0	39	54598242
5	54605102	54605202	+	23	0	18	54605128
5	54605734	54605909	+	44	0	25	54605774
5	54606173	54606283	+	26	0	18	54606190
5	54608843	54608978	+	36	0	25	54608927
5	54611380	54611605	+	59	0	39	54611506
5	54618310	54618560	+	301	0	198	54618399
5	54621867	54622120	+	57	4	28	54621997
5	54632024	54632124	+	12	0	10	54632072
5	54634716	54634923	-	1	35	22	54634800
5	54637978	54638233	+	72	0	44	54638144
5	54655659	54655761	+	12	0	10	54655709
5	54658050	54658232	-	0	31	18	54658143
5	54661391	54661706	+	71	0	31	54661458
5	54663005	54663224	+	75	1	50	54663140
5	54668386	54668595	+	52	0	33	54668493
5	54673516	54673731	+	72	0	51	54673604
5	54681898	54681998	+	8	0	7	54681977
5	54688024	54688271	+	89	0	61	54688182
5	54690558	54690768	+	79	0	51	54690674
5	54690996	54691129	+	36	1	26	54691070
5	54692069	54692242	+	39	0	25	54692148
5	54693820	54693939	+	27	0	17	54693848
5	54698759	54699131	+	71	4	32	54698852
5	54705593	54705797	+	33	1	21	54705683
5	54710780	54710944	+	35	0	25	54710864
5	54712182	54712355	+	27	0	19	54712266
5	54713811	54713970	+	26	1	20	54713884
